,runID,module,name,value,interpolationmode,moduledisplaypath,recordingmode,source,title,unit,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
9,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.adas.app[6].sink,meanBitLifeTimePerPacket:vector:mean,155.59026711852962,none,Testbed.adas.front left cam.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
45,OurMethod-0-20231128-13:02:26-396768,Testbed.adas.app[6].sink,meanBitLifeTimePerPacket:vector:mean,155.71026468192048,none,Testbed.adas.front left cam.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
27,Cryptography-0-20231128-13:04:00-397280,Testbed.adas.app[6].sink,meanBitLifeTimePerPacket:vector:mean,563.2679589772387,none,Testbed.adas.front left cam.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
7,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.adas.app[7].sink,meanBitLifeTimePerPacket:vector:mean,135.16841464466117,none,Testbed.adas.front right cam.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
43,OurMethod-0-20231128-13:02:26-396768,Testbed.adas.app[7].sink,meanBitLifeTimePerPacket:vector:mean,135.28841449112278,none,Testbed.adas.front right cam.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
25,Cryptography-0-20231128-13:04:00-397280,Testbed.adas.app[7].sink,meanBitLifeTimePerPacket:vector:mean,541.8226558109054,none,Testbed.adas.front right cam.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
6,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.adas.app[8].sink,meanBitLifeTimePerPacket:vector:mean,125.33847311827957,none,Testbed.adas.rear left cam.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
42,OurMethod-0-20231128-13:02:26-396768,Testbed.adas.app[8].sink,meanBitLifeTimePerPacket:vector:mean,125.45847311827958,none,Testbed.adas.rear left cam.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
24,Cryptography-0-20231128-13:04:00-397280,Testbed.adas.app[8].sink,meanBitLifeTimePerPacket:vector:mean,531.4807613806903,none,Testbed.adas.rear left cam.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
8,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.adas.app[9].sink,meanBitLifeTimePerPacket:vector:mean,145.43942643210806,none,Testbed.adas.rear right cam.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
44,OurMethod-0-20231128-13:02:26-396768,Testbed.adas.app[9].sink,meanBitLifeTimePerPacket:vector:mean,145.55942582095523,none,Testbed.adas.rear right cam.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
26,Cryptography-0-20231128-13:04:00-397280,Testbed.adas.app[9].sink,meanBitLifeTimePerPacket:vector:mean,552.6050967693847,none,Testbed.adas.rear right cam.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
10,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.adas.app[10].sink,meanBitLifeTimePerPacket:vector:mean,6.4400234775000005,none,Testbed.adas.v2x.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
46,OurMethod-0-20231128-13:02:26-396768,Testbed.adas.app[10].sink,meanBitLifeTimePerPacket:vector:mean,6.500023477499997,none,Testbed.adas.v2x.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
28,Cryptography-0-20231128-13:04:00-397280,Testbed.adas.app[10].sink,meanBitLifeTimePerPacket:vector:mean,411.89199999999994,none,Testbed.adas.v2x.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
12,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.frontLeftWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,65.33436800000001,none,Testbed.frontLeftWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
48,OurMethod-0-20231128-13:02:26-396768,Testbed.frontLeftWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,65.454368,none,Testbed.frontLeftWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
30,Cryptography-0-20231128-13:04:00-397280,Testbed.frontLeftWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,471.4780000000001,none,Testbed.frontLeftWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
13,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.frontRightWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,70.86466015807902,none,Testbed.frontRightWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
49,OurMethod-0-20231128-13:02:26-396768,Testbed.frontRightWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,70.98463014257128,none,Testbed.frontRightWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
31,Cryptography-0-20231128-13:04:00-397280,Testbed.frontRightWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,477.51799999999986,none,Testbed.frontRightWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
4,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.head.app[2].sink,meanBitLifeTimePerPacket:vector:mean,24.870473453,none,Testbed.head.front left ultrasonic.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
40,OurMethod-0-20231128-13:02:26-396768,Testbed.head.app[2].sink,meanBitLifeTimePerPacket:vector:mean,24.990471259750002,none,Testbed.head.front left ultrasonic.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
22,Cryptography-0-20231128-13:04:00-397280,Testbed.head.app[2].sink,meanBitLifeTimePerPacket:vector:mean,442.575774343922,none,Testbed.head.front left ultrasonic.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
2,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.head.app[3].sink,meanBitLifeTimePerPacket:vector:mean,12.247839999999998,none,Testbed.head.front right ultrasonic.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
38,OurMethod-0-20231128-13:02:26-396768,Testbed.head.app[3].sink,meanBitLifeTimePerPacket:vector:mean,12.367840000000003,none,Testbed.head.front right ultrasonic.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
20,Cryptography-0-20231128-13:04:00-397280,Testbed.head.app[3].sink,meanBitLifeTimePerPacket:vector:mean,421.3179999999999,none,Testbed.head.front right ultrasonic.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
17,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.head.app[6].sink,meanBitLifeTimePerPacket:vector:mean,42.5244713,none,Testbed.head.gps.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
53,OurMethod-0-20231128-13:02:26-396768,Testbed.head.app[6].sink,meanBitLifeTimePerPacket:vector:mean,42.644469400000006,none,Testbed.head.gps.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
35,Cryptography-0-20231128-13:04:00-397280,Testbed.head.app[6].sink,meanBitLifeTimePerPacket:vector:mean,467.0496442222222,none,Testbed.head.gps.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
5,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.head.app[4].sink,meanBitLifeTimePerPacket:vector:mean,31.325218689999996,none,Testbed.head.rear left ultrasonic.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
41,OurMethod-0-20231128-13:02:26-396768,Testbed.head.app[4].sink,meanBitLifeTimePerPacket:vector:mean,31.445217869749992,none,Testbed.head.rear left ultrasonic.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
23,Cryptography-0-20231128-13:04:00-397280,Testbed.head.app[4].sink,meanBitLifeTimePerPacket:vector:mean,453.3540269387193,none,Testbed.head.rear left ultrasonic.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
3,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.head.app[5].sink,meanBitLifeTimePerPacket:vector:mean,18.32047437475,none,Testbed.head.rear right ultrasonic.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
39,OurMethod-0-20231128-13:02:26-396768,Testbed.head.app[5].sink,meanBitLifeTimePerPacket:vector:mean,18.440472764999996,none,Testbed.head.rear right ultrasonic.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
21,Cryptography-0-20231128-13:04:00-397280,Testbed.head.app[5].sink,meanBitLifeTimePerPacket:vector:mean,431.7080336045522,none,Testbed.head.rear right ultrasonic.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
0,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.leftSpeakers.app[0].sink,meanBitLifeTimePerPacket:vector:mean,12.246991402624998,none,Testbed.leftSpeakers.entertainment.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
36,OurMethod-0-20231128-13:02:26-396768,Testbed.leftSpeakers.app[0].sink,meanBitLifeTimePerPacket:vector:mean,12.366991402750003,none,Testbed.leftSpeakers.entertainment.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
18,Cryptography-0-20231128-13:04:00-397280,Testbed.leftSpeakers.app[0].sink,meanBitLifeTimePerPacket:vector:mean,421.8505109168438,none,Testbed.leftSpeakers.entertainment.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
16,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.mdps.app[0].sink,meanBitLifeTimePerPacket:vector:mean,82.64441098049026,none,Testbed.mdps.adas steering.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
52,OurMethod-0-20231128-13:02:26-396768,Testbed.mdps.app[0].sink,meanBitLifeTimePerPacket:vector:mean,82.70441098599296,none,Testbed.mdps.adas steering.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
34,Cryptography-0-20231128-13:04:00-397280,Testbed.mdps.app[0].sink,meanBitLifeTimePerPacket:vector:mean,490.71600000000007,none,Testbed.mdps.adas steering.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
11,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.pcm.app[0].sink,meanBitLifeTimePerPacket:vector:mean,28.578518775000006,none,Testbed.pcm.adas engine control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
47,OurMethod-0-20231128-13:02:26-396768,Testbed.pcm.app[0].sink,meanBitLifeTimePerPacket:vector:mean,28.63851878049999,none,Testbed.pcm.adas engine control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
29,Cryptography-0-20231128-13:04:00-397280,Testbed.pcm.app[0].sink,meanBitLifeTimePerPacket:vector:mean,434.996,none,Testbed.pcm.adas engine control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
14,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.rearLeftWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,76.40665386643323,none,Testbed.rearLeftWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
50,OurMethod-0-20231128-13:02:26-396768,Testbed.rearLeftWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,76.52662385642819,none,Testbed.rearLeftWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
32,Cryptography-0-20231128-13:04:00-397280,Testbed.rearLeftWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,483.5772144227114,none,Testbed.rearLeftWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
15,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.rearRightWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,81.93467006753377,none,Testbed.rearRightWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
51,OurMethod-0-20231128-13:02:26-396768,Testbed.rearRightWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,82.05464005752879,none,Testbed.rearRightWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
33,Cryptography-0-20231128-13:04:00-397280,Testbed.rearRightWheel.app[0].sink,meanBitLifeTimePerPacket:vector:mean,489.6168265502754,none,Testbed.rearRightWheel.adas wheel control.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
1,AutomaticTsn-0-20231128-13:05:32-397770,Testbed.rightSpeakers.app[0].sink,meanBitLifeTimePerPacket:vector:mean,18.966919999999725,none,Testbed.rightSpeakers.entertainment.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,0_AutomaticTsn,20231128-13:05:32,20231128-130532,AutomaticTsn,omnetpp.ini,,,,,Testbed,397770,0,#0,results,0,0
37,OurMethod-0-20231128-13:02:26-396768,Testbed.rightSpeakers.app[0].sink,meanBitLifeTimePerPacket:vector:mean,19.086919999999996,none,Testbed.rightSpeakers.entertainment.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,1_OurMethod,20231128-13:02:26,20231128-130226,OurMethod,omnetpp.ini,,,,,Testbed,396768,0,#0,results,0,0
19,Cryptography-0-20231128-13:04:00-397280,Testbed.rightSpeakers.app[0].sink,meanBitLifeTimePerPacket:vector:mean,433.2385954903088,none,Testbed.rightSpeakers.entertainment.sink,vector,weightedMeanPerGroup(groupRegionsPerPacket(lifeTimePerRegion(packetPushed))),mean bit life time per packet,s,2_Cryptography,20231128-13:04:00,20231128-130400,Cryptography,omnetpp.ini,,,,,Testbed,397280,0,#0,results,0,0
